# Power Measurement Data
# Date: 2026-02-25 12:12:33
# Channel Group: Confocal Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488-GFP_Power(W),488-GFP_StdDev,561-RFP_Power(W),561-RFP_StdDev,640-Cy5_Power(W),640-Cy5_StdDev,785-NIR_Power(W),785-NIR_StdDev
0.000000,0.000001401,0.000000047,0.000001114,0.000000035,0.000027274,0.000000130,0.000000820,0.000000026,0.000000612,0.000000019
0.208333,0.000056592,0.000000270,0.000021869,0.000000093,0.000080307,0.000000575,0.000009418,0.000000051,0.000003260,0.000000029
0.416667,0.000122950,0.000000573,0.000235110,0.000001060,0.000212260,0.000000977,0.000224720,0.000001172,0.000036062,0.000000325
0.625000,0.000190530,0.000000734,0.000454600,0.000001991,0.000362760,0.000002291,0.000441640,0.000002259,0.000075686,0.000000548
0.833333,0.000260440,0.000000964,0.000674840,0.000002489,0.000512810,0.000002834,0.000647300,0.000003165,0.000115160,0.000000731
1.041667,0.000339130,0.000001221,0.000886480,0.000003974,0.000663280,0.000003893,0.000853010,0.000005301,0.000155460,0.000001054
1.250000,0.000414720,0.000001735,0.001100800,0.000005437,0.000812560,0.000004368,0.001077300,0.000005216,0.000194350,0.000001137
1.458333,0.000488120,0.000001618,0.001314200,0.000005528,0.000964820,0.000004503,0.001270900,0.000006236,0.000226250,0.000001460
1.666667,0.000552000,0.000001647,0.001528700,0.000007114,0.001111200,0.000006447,0.001474800,0.000008171,0.000272750,0.000001654
1.875000,0.000604360,0.000001994,0.001744600,0.000007579,0.001260700,0.000006084,0.001706900,0.000009049,0.000306190,0.000001916
2.083333,0.000694750,0.000002329,0.001956400,0.000008499,0.001413600,0.000007813,0.001882000,0.000010592,0.000347510,0.000002362
2.291667,0.000759700,0.000002732,0.002172700,0.000008271,0.001563400,0.000006280,0.002100300,0.000010546,0.000375190,0.000002222
2.500000,0.000847230,0.000003552,0.002382500,0.000010651,0.001709000,0.000008173,0.002332400,0.000011834,0.000408950,0.000002665
2.708333,0.000915390,0.000003796,0.002595500,0.000012706,0.001868600,0.000007774,0.002536600,0.000014186,0.000430810,0.000002775
2.916667,0.000985750,0.000004397,0.002810200,0.000013136,0.002018300,0.000011349,0.002726800,0.000015171,0.000472080,0.000002904
3.125000,0.001060200,0.000004045,0.003027300,0.000014029,0.002170300,0.000011393,0.002935200,0.000015439,0.000509490,0.000003673
3.333333,0.001132600,0.000004363,0.003234700,0.000015395,0.002314600,0.000013944,0.003149800,0.000017081,0.000543990,0.000003207
3.541667,0.001220200,0.000004512,0.003466600,0.000015711,0.002452500,0.000005749,0.003347100,0.000017991,0.000570980,0.000003861
3.750000,0.001285900,0.000004482,0.003657900,0.000015030,0.002618800,0.000012408,0.003533300,0.000016989,0.000612550,0.000003312
3.958333,0.001372900,0.000005839,0.003895100,0.000017513,0.002768500,0.000011334,0.003714200,0.000017566,0.000623620,0.000003597
4.166667,0.001429100,0.000005752,0.004095200,0.000019843,0.002919600,0.000015467,0.003870000,0.000017309,0.000696150,0.000003716
4.375000,0.001518000,0.000005983,0.004311400,0.000021191,0.003072100,0.000017902,0.004076800,0.000023693,0.000760900,0.000004533
4.583333,0.001597300,0.000006230,0.004537300,0.000023908,0.003232300,0.000014785,0.004329900,0.000021192,0.000768170,0.000004692
4.791667,0.001676500,0.000006888,0.004740500,0.000022606,0.003353600,0.000015635,0.004528900,0.000021824,0.000862040,0.000005074
5.000000,0.001671800,0.000007208,0.004758100,0.000019826,0.003397300,0.000016698,0.004563100,0.000025058,0.000864090,0.000005710
