# Power Measurement Data
# Date: 2026-08-05 14:51:06
# Microscope: CSUW1
# Channel Group: Confocal Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488-GFP_Power(W),488-GFP_StdDev,561-RFP_Power(W),561-RFP_StdDev,640-Cy5_Power(W),640-Cy5_StdDev,785-NIR_Power(W),785-NIR_StdDev
0.000000,0.000000997,0.000000010,0.000000767,0.000000007,0.000190360,0.000001392,0.000000563,0.000000005,0.000000423,0.000000004
0.208333,0.000046311,0.000000109,0.000192440,0.000000353,0.000322230,0.000000852,0.000010384,0.000000016,0.000023715,0.000000097
0.416667,0.000108080,0.000000227,0.000424270,0.000000923,0.000427470,0.000001203,0.000263090,0.000000202,0.000075790,0.000000200
0.625000,0.000162090,0.000000359,0.000623470,0.000000642,0.000504460,0.000000488,0.000506880,0.000000433,0.000124590,0.000000288
0.833333,0.000229600,0.000000486,0.000854430,0.000003521,0.000624700,0.000001817,0.000763620,0.000000834,0.000175010,0.000000230
1.041667,0.000295000,0.000000747,0.001050700,0.000003607,0.000718760,0.000002657,0.001003210,0.000003159,0.000221500,0.000000349
1.250000,0.000356350,0.000000676,0.001241000,0.000001000,0.000927060,0.000002106,0.001238500,0.000002247,0.000266620,0.000000504
1.458333,0.000421770,0.000000816,0.001457200,0.000004936,0.001099800,0.000003842,0.001504600,0.000002538,0.000321780,0.000001115
1.666667,0.000490930,0.000001063,0.001670100,0.000004805,0.001276500,0.000006515,0.001772700,0.000002193,0.000369270,0.000000701
1.875000,0.000536990,0.000001093,0.001898300,0.000002238,0.001448300,0.000006001,0.001972700,0.000001616,0.000424490,0.000000899
2.083333,0.000592860,0.000002223,0.002121400,0.000007228,0.001628400,0.000008558,0.002204900,0.000001375,0.000468200,0.000001156
2.291667,0.000670640,0.000002909,0.002362100,0.000008619,0.001786600,0.000007144,0.002452100,0.000010084,0.000488810,0.000000912
2.500000,0.000731830,0.000002931,0.002594500,0.000003931,0.001966700,0.000012985,0.002730000,0.000005310,0.000540540,0.000001007
2.708333,0.000788970,0.000001739,0.002824500,0.000003879,0.002148800,0.000006823,0.002943000,0.000006663,0.000559580,0.000000918
2.916667,0.000869650,0.000001973,0.003057400,0.000004409,0.002317300,0.000018926,0.003182200,0.000005212,0.000617630,0.000001953
3.125000,0.000923830,0.000001933,0.003291800,0.000005307,0.002495300,0.000016007,0.003439600,0.000003105,0.000665550,0.000002403
3.333333,0.001013600,0.000003382,0.003519200,0.000008436,0.002677700,0.000005900,0.003677700,0.000002610,0.000694230,0.000001200
3.541667,0.001064900,0.000002700,0.003772900,0.000005682,0.002838300,0.000023350,0.003909200,0.000002960,0.000735030,0.000001325
3.750000,0.001123700,0.000003523,0.003994200,0.000004622,0.003022400,0.000022892,0.004141800,0.000007026,0.000767110,0.000001491
3.958333,0.001197100,0.000002844,0.004241400,0.000005181,0.003181700,0.000024860,0.004379700,0.000002238,0.000816200,0.000001402
4.166667,0.001271400,0.000003200,0.004453200,0.000014871,0.003349900,0.000021045,0.004619000,0.000002793,0.000859800,0.000003250
4.375000,0.001331300,0.000001676,0.004695500,0.000009811,0.003539300,0.000023875,0.004856100,0.000013824,0.000913150,0.000002648
4.583333,0.001396000,0.000002569,0.004948200,0.000004874,0.003726400,0.000007965,0.005212400,0.000008969,0.000976720,0.000002729
4.791667,0.001459200,0.000002891,0.005169100,0.000005262,0.003872900,0.000018196,0.005421900,0.000004614,0.001085600,0.000002107
5.000000,0.001458000,0.000003347,0.005179400,0.000006960,0.003936400,0.000013937,0.005424800,0.000005930,0.001084600,0.000001356
