# Power Measurement Data
# Date: 2026-07-28 14:20:18
# Microscope: CVRI-Nikon-Spinning-Disk-Confocal
# Channel Group: Confocal Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488-GFP_Power(W),488-GFP_StdDev,561-Cy3(em609)_Power(W),561-Cy3(em609)_StdDev,640-Cy5_Power(W),640-Cy5_StdDev
0.000000,0.000000935,0.000000041,0.000000564,0.000000033,0.000046770,0.000000195,0.000000417,0.000000023
0.208333,0.000000921,0.000000043,0.000000614,0.000000033,0.000140920,0.000000637,0.000000417,0.000000021
0.416667,0.000000954,0.000000041,0.000001115,0.000000033,0.000398820,0.000002109,0.000000507,0.000000021
0.625000,0.000001038,0.000000043,0.000375610,0.000002945,0.000689340,0.000003081,0.000000709,0.000000021
0.833333,0.000001208,0.000000038,0.001155100,0.000003807,0.000976910,0.000003516,0.000001318,0.000000026
1.041667,0.000001523,0.000000059,0.001868800,0.000009207,0.001274100,0.000005108,0.000004012,0.000000025
1.250000,0.000004779,0.000000051,0.002565100,0.000007726,0.001560300,0.000007836,0.000104196,0.000003177
1.458333,0.000157240,0.000000291,0.003208700,0.000009829,0.001848900,0.000009492,0.000920070,0.000009628
1.666667,0.000339580,0.000001334,0.003839700,0.000015133,0.002153500,0.000004478,0.001715700,0.000010189
1.875000,0.000525180,0.000001861,0.004429200,0.000017798,0.002433400,0.000008743,0.002482100,0.000015103
2.083333,0.000704770,0.000002629,0.005002600,0.000019059,0.002734900,0.000013553,0.003235100,0.000010387
2.291667,0.000880840,0.000003711,0.005592300,0.000014269,0.003032100,0.000010397,0.003942300,0.000010565
2.500000,0.001061800,0.000004976,0.006088100,0.000013420,0.003307400,0.000008452,0.004666700,0.000027499
2.708333,0.001228300,0.000002648,0.006623500,0.000033545,0.003614200,0.000015191,0.005355100,0.000022430
2.916667,0.001399800,0.000007125,0.007119300,0.000020770,0.003909000,0.000016125,0.006027700,0.000029319
3.125000,0.001558500,0.000004433,0.007531500,0.000026994,0.004185500,0.000011655,0.006708700,0.000025421
3.333333,0.001720400,0.000006771,0.008063400,0.000026871,0.004503900,0.000018796,0.007328500,0.000021869
3.541667,0.001877200,0.000003945,0.008420300,0.000025195,0.004780600,0.000018391,0.007951300,0.000032131
3.750000,0.002021000,0.000006277,0.008781100,0.000039040,0.005076700,0.000028114,0.008478700,0.000029736
3.958333,0.002156600,0.000006815,0.008747200,0.000031403,0.005385600,0.000020660,0.009079000,0.000030555
4.166667,0.002134200,0.000006508,0.008736500,0.000037011,0.005649300,0.000020770,0.009546800,0.000042261
4.375000,0.002133000,0.000007912,0.008771800,0.000026057,0.005973400,0.000024262,0.010053800,0.000043474
4.583333,0.002129800,0.000007897,0.008732000,0.000021466,0.006263300,0.000017810,0.010550000,0.000036606
4.791667,0.002120900,0.000005873,0.008789600,0.000025358,0.006499100,0.000020593,0.010642000,0.000037895
5.000000,0.002133300,0.000002685,0.008746400,0.000034737,0.006649300,0.000026226,0.010687000,0.000033779
