# Power Measurement Data
# Date: 2026-07-20 16:13:10
# Microscope: Timelapse2
# Channel Group: Epifluorescence-Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,DAPI Ex 390-20_Power(W),DAPI Ex 390-20_StdDev,CFP em458-480_Power(W),CFP em458-480_StdDev,FITC Ex 470-24_Power(W),FITC Ex 470-24_StdDev,YFP Em518-519_Power(W),YFP Em518-519_StdDev,Cy3 Ex 550-15_Power(W),Cy3 Ex 550-15_StdDev,Cy5 Ex 640-30_Power(W),Cy5 Ex 640-30_StdDev
0.000000,0.000001496,0.000000016,0.000001113,0.000000015,0.000001090,0.000000014,0.000000966,0.000000011,0.000000899,0.000000011,0.000000756,0.000000032
4.166667,0.002038800,0.000002400,0.002231400,0.000000917,0.002587900,0.000000831,0.000588250,0.000000220,0.000879870,0.000000686,0.000679240,0.000000618
8.333333,0.004483600,0.000008102,0.004521300,0.000000640,0.004710800,0.000000980,0.001369200,0.000000600,0.003118300,0.000002369,0.001478600,0.000000663
12.500000,0.006846200,0.000004045,0.006632800,0.000001249,0.006837800,0.000000980,0.002129600,0.000000663,0.005248300,0.000003796,0.002251000,0.000000894
16.666667,0.009180200,0.000007600,0.008632300,0.000005658,0.008842200,0.000006809,0.002826000,0.000000775,0.007311500,0.000006070,0.003039900,0.000000539
20.833333,0.011616000,0.000008000,0.010671000,0.000005385,0.010920000,0.000004472,0.003526400,0.000000663,0.009548400,0.000008511,0.003923700,0.000000458
25.000000,0.014203000,0.000006403,0.012784000,0.000004899,0.013057000,0.000009000,0.004218800,0.000000400,0.011940000,0.000011832,0.004913600,0.000000490
29.166667,0.016319000,0.000018682,0.014449000,0.000008307,0.014754000,0.000006633,0.004747700,0.000000640,0.013921000,0.000010440,0.005761500,0.000000671
33.333333,0.018535000,0.000008062,0.016162000,0.000010770,0.016521000,0.000005385,0.005278200,0.000000600,0.016070000,0.000006325,0.006694600,0.000005463
37.500000,0.020511000,0.000005385,0.017629000,0.000007000,0.018032000,0.000009798,0.005729100,0.000000300,0.017970000,0.000013416,0.007539700,0.000004360
41.666667,0.022432000,0.000031875,0.019051000,0.000007000,0.019491000,0.000007000,0.006152900,0.000000700,0.019858000,0.000014697,0.008404500,0.000003667
45.833333,0.024346000,0.000010198,0.020392000,0.000007483,0.020884000,0.000004899,0.006553100,0.000000700,0.021754000,0.000006633,0.009272700,0.000004562
50.000000,0.026740000,0.000010000,0.022070000,0.000007746,0.022583000,0.000006403,0.007042900,0.000000700,0.024147000,0.000004583,0.010401000,0.000003000
54.166667,0.028525000,0.000021564,0.023291000,0.000003000,0.023831000,0.000005385,0.007393500,0.000000806,0.025931000,0.000009434,0.011287000,0.000006403
58.333333,0.030278000,0.000007483,0.024480000,0.000006325,0.025006000,0.000008000,0.007743100,0.000006457,0.027690000,0.000004472,0.012284000,0.000004899
62.500000,0.032156000,0.000010198,0.025725000,0.000006708,0.026255000,0.000005000,0.008094000,0.000004290,0.029583000,0.000007810,0.013201000,0.000003000
66.666667,0.033823000,0.000004583,0.026810000,0.000006325,0.027316000,0.000006633,0.008395900,0.000002211,0.031264000,0.000008000,0.014045000,0.000008062
70.833333,0.035444000,0.000008000,0.027842000,0.000004000,0.028333000,0.000004583,0.008692900,0.000004763,0.032879000,0.000008307,0.014902000,0.000004000
75.000000,0.037500000,0.000006325,0.029134000,0.000008000,0.029612000,0.000007483,0.009065700,0.000004026,0.034927000,0.000010050,0.016032000,0.000004000
79.166667,0.039057000,0.000009000,0.030087000,0.000007810,0.030539000,0.000009434,0.009339400,0.000006931,0.036443000,0.000011874,0.016893000,0.000004583
83.333333,0.040558000,0.000008718,0.031004000,0.000011136,0.031413000,0.000004583,0.009607300,0.000006001,0.037906000,0.000018000,0.017743000,0.000004583
87.500000,0.042022000,0.000007483,0.031864000,0.000004899,0.032265000,0.000010247,0.009869600,0.000004862,0.039303000,0.000019000,0.018600000,0.000004472
91.666667,0.043584000,0.000011136,0.032800000,0.000007746,0.033156000,0.000010198,0.010145000,0.000006708,0.040805000,0.000021095,0.019520000,0.000000000
95.833333,0.044985000,0.000008062,0.033620000,0.000008944,0.033929000,0.000005385,0.010387000,0.000011874,0.042108000,0.000027129,0.020347000,0.000004583
100.000000,0.046753000,0.000007810,0.034596000,0.000006633,0.034895000,0.000008062,0.010683000,0.000006403,0.043678000,0.000032496,0.021413000,0.000004583
