# Power Measurement Data
# Date: 2026-08-04 13:14:10
# Microscope: Snouty
# Channel Group: Emission (excitation)
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,Quad pass (405 nm)_Power(W),Quad pass (405 nm)_StdDev,Quad pass (488 nm)_Power(W),Quad pass (488 nm)_StdDev,Quad pass (561 nm)_Power(W),Quad pass (561 nm)_StdDev,Quad pass (638 nm)_Power(W),Quad pass (638 nm)_StdDev
0.000000,0.000019927,0.000000010,0.000015370,0.000000008,0.000013014,0.000000007,0.000011304,0.000000007
0.208333,0.000023549,0.000000008,0.000025871,0.000000053,0.000013025,0.000000007,0.000018067,0.000000020
0.416667,0.000054296,0.000000494,0.000169080,0.000001005,0.000109800,0.000000195,0.000202380,0.000001653
0.625000,0.000085723,0.000000934,0.000312410,0.000001544,0.000209270,0.000000142,0.000386860,0.000003807
0.833333,0.000118550,0.000001895,0.000479670,0.000001923,0.000307930,0.000000293,0.000550740,0.000001409
1.041667,0.000151040,0.000000215,0.000636600,0.000001611,0.000406420,0.000000331,0.000720620,0.000000608
1.250000,0.000183980,0.000000900,0.000817700,0.000001604,0.000504860,0.000000233,0.000896070,0.000000618
1.458333,0.000220330,0.000000257,0.000990730,0.000001383,0.000604120,0.000000421,0.001083100,0.000001513
1.666667,0.000258860,0.000000201,0.001136900,0.000001221,0.000673440,0.000000535,0.001275500,0.000000922
1.875000,0.000296800,0.000000578,0.001342700,0.000001676,0.000674690,0.000000757,0.001468100,0.000001300
2.083333,0.000333250,0.000000512,0.001506200,0.000001327,0.000673560,0.000000658,0.001634900,0.000001700
2.291667,0.000373400,0.000000279,0.001702600,0.000001356,0.000672850,0.000000410,0.001817000,0.000002145
2.500000,0.000421320,0.000001014,0.001885500,0.000001204,0.000674320,0.000000360,0.002017900,0.000001044
2.708333,0.000464680,0.000000623,0.002130100,0.000001758,0.000674080,0.000000477,0.002191400,0.000002200
2.916667,0.000512020,0.000000621,0.002329900,0.000000831,0.000675210,0.000000259,0.002326300,0.000001900
3.125000,0.000562680,0.000000511,0.002470500,0.000001118,0.000674880,0.000000654,0.002501200,0.000002786
3.333333,0.000614080,0.000000445,0.002717100,0.000001221,0.000673720,0.000000562,0.002654400,0.000001855
3.541667,0.000660610,0.000000497,0.002922500,0.000001962,0.000675160,0.000000524,0.002801800,0.000002482
3.750000,0.000705570,0.000000623,0.003149800,0.000002713,0.000678480,0.000007620,0.002988900,0.000003113
3.958333,0.000754750,0.000000480,0.003357900,0.000002663,0.000674000,0.000000574,0.003148900,0.000001513
4.166667,0.000807670,0.000000634,0.003623100,0.000003534,0.000674420,0.000000634,0.003300800,0.000003341
4.375000,0.000861020,0.000000892,0.003802800,0.000002182,0.000675560,0.000000890,0.003540500,0.000010181
4.583333,0.000915800,0.000000746,0.004030000,0.000001949,0.000676030,0.000000933,0.003763600,0.000003800
4.791667,0.000972450,0.000001216,0.004283300,0.000004451,0.000675110,0.000000515,0.003930200,0.000005115
5.000000,0.000971870,0.000000841,0.004279200,0.000003682,0.000677450,0.000000633,0.003936300,0.000004314
