# Power Measurement Data
# Date: 2026-07-30 12:18:07
# Microscope: CSU22
# Channel Group: Confocal_Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488-GFP_Power(W),488-GFP_StdDev,561-RFP_Power(W),561-RFP_StdDev,640-Cy5_Power(W),640-Cy5_StdDev
0.000000,-0.000000001,0.000000003,0.000043208,0.000000288,0.000017576,0.000000217,0.000000000,0.000000002
4.166667,0.000006786,0.000000052,0.000087315,0.000000771,0.000048084,0.000000354,0.000035662,0.000000242
8.333333,0.000013545,0.000000100,0.000131120,0.000000936,0.000089458,0.000000696,0.000067835,0.000000420
12.500000,0.000022057,0.000000156,0.000174590,0.000001017,0.000131690,0.000001089,0.000099751,0.000000640
16.666667,0.000030028,0.000000165,0.000218500,0.000001641,0.000173940,0.000001152,0.000131870,0.000000834
20.833333,0.000037369,0.000000303,0.000261370,0.000001494,0.000216800,0.000001287,0.000164210,0.000001125
25.000000,0.000045290,0.000000296,0.000303780,0.000002833,0.000259130,0.000002063,0.000195890,0.000001161
29.166667,0.000050455,0.000000364,0.000346100,0.000002653,0.000301690,0.000002217,0.000227300,0.000001283
33.333333,0.000057356,0.000000481,0.000390150,0.000002166,0.000344120,0.000002725,0.000258270,0.000001370
37.500000,0.000065457,0.000000510,0.000432300,0.000003333,0.000387970,0.000002071,0.000289230,0.000001632
41.666667,0.000072915,0.000000545,0.000475780,0.000002690,0.000429350,0.000002325,0.000319230,0.000002068
45.833333,0.000082276,0.000000613,0.000519080,0.000003719,0.000471580,0.000002771,0.000348790,0.000002735
50.000000,0.000088598,0.000000646,0.000565270,0.000004017,0.000514800,0.000003391,0.000379490,0.000002589
54.166667,0.000094155,0.000000688,0.000610050,0.000004485,0.000557140,0.000003530,0.000408510,0.000002352
58.333333,0.000100090,0.000000678,0.000652690,0.000004613,0.000599390,0.000003719,0.000439310,0.000002914
62.500000,0.000107510,0.000001196,0.000696770,0.000004418,0.000640420,0.000004221,0.000471180,0.000002800
66.666667,0.000117330,0.000000714,0.000742210,0.000005684,0.000681950,0.000005316,0.000504480,0.000003098
70.833333,0.000123200,0.000000887,0.000784320,0.000006296,0.000727670,0.000005229,0.000535580,0.000003408
75.000000,0.000129450,0.000001106,0.000826500,0.000006080,0.000774090,0.000004916,0.000565570,0.000003986
79.166667,0.000134300,0.000001057,0.000866950,0.000004992,0.000816100,0.000004992,0.000594120,0.000004629
83.333333,0.000140580,0.000000773,0.000906930,0.000007820,0.000859310,0.000005118,0.000621400,0.000004725
87.500000,0.000150400,0.000000914,0.000954600,0.000005686,0.000901400,0.000004896,0.000648140,0.000004237
91.666667,0.000156600,0.000001005,0.000991720,0.000004262,0.000947520,0.000006919,0.000675440,0.000004580
95.833333,0.000163300,0.000000995,0.001035300,0.000007390,0.000990540,0.000006607,0.000703480,0.000004173
100.000000,0.000166780,0.000001184,0.001074900,0.000007880,0.001022900,0.000006204,0.000730850,0.000005478
