# Power Measurement Data
# Date: 2026-07-28 17:56:15
# Microscope: TIRF
# Channel Group: Channels-Andor
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488_Power(W),488_StdDev,561_Power(W),561_StdDev,647_Power(W),647_StdDev
0.000000,0.000001126,0.000000003,0.000000933,0.000000002,0.000003715,0.000000016,0.000000661,0.000000002
0.208333,0.000013283,0.000000009,0.000077895,0.000000106,0.000256350,0.000000341,0.000237930,0.000000307
0.416667,0.000043813,0.000000017,0.000300290,0.000000305,0.000935850,0.000000297,0.000939340,0.000001061
0.625000,0.000091341,0.000000036,0.000658570,0.000000358,0.002016500,0.000001910,0.002081100,0.000001300
0.833333,0.000156980,0.000000108,0.001157600,0.000001020,0.003494200,0.000002088,0.003677100,0.000000700
1.041667,0.000237880,0.000000087,0.001770100,0.000002700,0.005316200,0.000006030,0.005698600,0.000001114
1.250000,0.000333330,0.000000100,0.002503700,0.000004451,0.007470700,0.000006827,0.008118800,0.000004976
1.458333,0.000439900,0.000000134,0.003340000,0.000003000,0.009833100,0.000011717,0.010960000,0.000010000
1.666667,0.000559180,0.000000260,0.004264600,0.000004652,0.012444000,0.000009165,0.014176000,0.000012000
1.875000,0.000686760,0.000000215,0.005241900,0.000006503,0.015228000,0.000014697,0.017696000,0.000019079
2.083333,0.000819200,0.000000237,0.006301000,0.000008390,0.018082000,0.000025612,0.021579000,0.000032696
2.291667,0.000957810,0.000000298,0.007376200,0.000009590,0.021051000,0.000009434,0.025772000,0.000031559
2.500000,0.001096500,0.000000671,0.008480100,0.000009257,0.023988000,0.000011662,0.030263000,0.000053675
2.708333,0.001238100,0.000000831,0.009561300,0.000018741,0.026913000,0.000007810,0.034999000,0.000064101
2.916667,0.001373500,0.000000806,0.010657000,0.000007810,0.029723000,0.000011000,0.039934000,0.000077872
3.125000,0.001507600,0.000000490,0.011710000,0.000012649,0.032428000,0.000019900,0.045091000,0.000099845
3.333333,0.001634100,0.000001136,0.012674000,0.000019596,0.035011000,0.000013000,0.050323000,0.000121495
3.541667,0.001751300,0.000001616,0.013659000,0.000025475,0.037360000,0.000018439,0.055484000,0.000105281
3.750000,0.001855300,0.000000640,0.014553000,0.000019000,0.039392000,0.000028914,0.060414000,0.000087201
3.958333,0.001951500,0.000001025,0.015375000,0.000017464,0.041126000,0.000027641,0.065105000,0.000128160
4.166667,0.002031100,0.000001578,0.016033000,0.000018466,0.042532000,0.000022716,0.069633000,0.000116538
4.375000,0.002096900,0.000000943,0.016635000,0.000022023,0.043562000,0.000022271,0.073467000,0.000072256
4.583333,0.002148400,0.000001356,0.017148000,0.000026000,0.044118000,0.000052688,0.076519000,0.000073546
4.791667,0.002179400,0.000001200,0.017537000,0.000030017,0.044243000,0.000020025,0.079008000,0.000056533
5.000000,0.002200200,0.000000748,0.017805000,0.000025397,0.043934000,0.000026153,0.080824000,0.000050438
